ProductId,ProductName,CompanyName,CategoryName,QuantityPerUnit,UnitPrice,UnitsInStock,ReorderLEvel,Discontinued
51,Manjimup Dried Apples,G'day Mate,Produce,50 - 300 g pkgs.,53,20,10,0
32,Mascarpone Fabioli,Formaggi Fortini s.r.l.,Dairy Products,24 - 200 g pkgs.,32,9,25,0
49,Maxilaku,Karkki Oy,Confections,24 - 50 g pkgs.,20,10,15,0
9,Mishi Kobe Niku,Tokyo Traders,Meat/Poultry,18 - 500 g pkgs.,97,29,0,1
72,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0
30,Nord-Ost Matjeshering,Nord-Ost-Fisch Handelsgesellschaft mbH,Seafood,10 - 200 g glasses,25.89,10,15,0
8,Northwoods Cranberry Sauce,Grandma Kelly's Homestead,Condiments,12 - 12 oz jars,40,6,0,0
25,NuNuCa Nuß-Nougat-Creme,Heli Süßwaren GmbH & Co. KG,Confections,20 - 450 g glasses,14,76,30,0
77,Original Frankfurter grüne Soße,Plutzer Lebensmittelgroßmärkte AG,Condiments,12 boxes,13,32,15,0
70,Outback Lager,Pavlova Ltd.,Beverages,24 - 355 ml bottles,15,15,30,0
55,Pâté chinois,Ma Maison,Meat/Poultry,24 boxes x 2 pies,24,115,20,0
16,Pavlova,Pavlova Ltd.,Confections,32 - 500 g boxes,17.45,29,10,0
53,Perth Pasties,G'day Mate,Meat/Poultry,48 pieces,32.8,0,0,1
11,Queso Cabrales,Cooperativa de Quesos 'Las Cabras',Dairy Products,1 kg pkg.,21,22,30,0
12,Queso Manchego La Pastora,Cooperativa de Quesos 'Las Cabras',Dairy Products,10 - 500 g pkgs.,38,86,0,0
59,Raclette Courdavault,Gai pâturage,Dairy Products,5 kg pkg.,55,79,0,0
57,Ravioli Angelo,Pasta Buttini s.r.l.,Grains/Cereals,24 - 250 g pkgs.,19.5,36,20,0
75,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Beverages,24 - 0.5 l bottles,7.75,125,25,0
73,Röd Kaviar,Svensk Sjöföda AB,Seafood,24 - 150 g jars,15,101,5,0
45,Rogede sild,Lyngbysild,Seafood,1k pkg.,9.5,5,15,0
28,Rössle Sauerkraut,Plutzer Lebensmittelgroßmärkte AG,Produce,25 - 825 g cans,45.6,26,0,1
34,Sasquatch Ale,Bigfoot Breweries,Beverages,24 - 12 oz bottles,14,111,15,0
27,Schoggi Schokolade,Heli Süßwaren GmbH & Co. KG,Confections,100 - 100 g pieces,43.9,49,30,0
68,Scottish Longbreads,Specialty Biscuits Ltd.,Confections,10 boxes x 8 pieces,12.5,6,15,0
42,Singaporean Hokkien Fried Mee,Leka Trading,Grains/Cereals,32 - 1 kg pkgs.,14,26,0,1
20,Sir Rodney's Marmalade,Specialty Biscuits Ltd.,Confections,30 gift boxes,81,40,0,0
21,Sir Rodney's Scones,Specialty Biscuits Ltd.,Confections,24 pkgs. x 4 pieces,10,3,5,0
61,Sirop d'érable,Forêts d'érables,Condiments,24 - 500 ml bottles,28.5,113,25,0
46,Spegesild,Lyngbysild,Seafood,4 - 450 g glasses,12,95,0,0
35,Steeleye Stout,Bigfoot Breweries,Beverages,24 - 12 oz bottles,18,20,15,0
62,Tarte au sucre,Forêts d'érables,Confections,48 pies,49.3,17,0,0
19,Teatime Chocolate Biscuits,Specialty Biscuits Ltd.,Confections,10 boxes x 12 pieces,9.2,25,5,0
29,Thüringer Rostbratwurst,Plutzer Lebensmittelgroßmärkte AG,Meat/Poultry,50 bags x 30 sausgs.,123.79,0,0,1
14,Tofu,Mayumi's,Produce,40 - 100 g pkgs.,23.25,35,0,0
54,Tourtière,Ma Maison,Meat/Poultry,16 pies,7.45,21,10,0
23,Tunnbröd,PB Knäckebröd AB,Grains/Cereals,12 - 250 g pkgs.,9,61,25,0
7,Uncle Bob's Organic Dried Pears,Grandma Kelly's Homestead,Produce,12 - 1 lb pkgs.,30,15,10,0
50,Valkoinen suklaa,Karkki Oy,Confections,12 - 100 g bars,16.25,65,30,0
63,Vegie-spread,Pavlova Ltd.,Condiments,15 - 625 g jars,43.9,24,5,0
64,Wimmers gute Semmelknödel,Plutzer Lebensmittelgroßmärkte AG,Grains/Cereals,20 bags x 4 pieces,33.25,22,30,0
47,Zaanse koeken,Zaanse Snoepfabriek,Confections,10 - 4 oz boxes,9.5,36,0,0
